PredicateSignature,count,mean_q_error,median_q_error,p95_q_error,max_q_error
mc.company_id:=|mc.company_type_id:>,26,3.9549037213151315,2.357142857142857,12.5,13.689655172413794
t.production_year:<|mc.company_id:=|mi_idx.info_type_id:>,1,3.857142857142857,3.857142857142857,3.857142857142857,3.857142857142857
t.production_year:<|mc.company_id:=|mc.company_type_id:=|mi_idx.info_type_id:=,1,3.769230769230769,3.769230769230769,3.769230769230769,3.769230769230769
t.kind_id:=|t.production_year:=|ci.person_id:<|ci.role_id:=|mk.keyword_id:=,1,3.75,3.75,3.75,3.75
t.kind_id:<|t.production_year:=|ci.role_id:<,2,3.748340019664814,3.748340019664814,6.110139853030311,6.372562056737588
t.kind_id:>|ci.person_id:>|ci.role_id:=,5,3.6969793861522233,1.3004475788583305,11.096039412198255,13.537755751930579
t.production_year:=|mc.company_id:=,1,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665
t.kind_id:>|t.production_year:<|mc.company_id:=|mc.company_type_id:>,1,3.607014342912169,3.607014342912169,3.607014342912169,3.607014342912169
t.production_year:>|ci.person_id:=,4,3.601839464882943,2.0652173913043477,8.126254180602004,9.076923076923077
t.production_year:>|ci.person_id:=|ci.role_id:=|mk.keyword_id:<,1,3.561224489795918,3.561224489795918,3.561224489795918,3.561224489795918
t.kind_id:=|t.production_year:=|mc.company_id:>|mc.company_type_id:=|mk.keyword_id:<,1,3.5513333333333335,3.5513333333333335,3.5513333333333335,3.5513333333333335
t.kind_id:=|t.production_year:=|mc.company_id:=|mc.company_type_id:<,1,3.537974683544304,3.537974683544304,3.537974683544304,3.537974683544304
t.production_year:>|ci.person_id:>|mk.keyword_id:=,1,3.535640648011782,3.535640648011782,3.535640648011782,3.535640648011782
t.production_year:>|ci.person_id:=|ci.role_id:<|mi_idx.info_type_id:=,1,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284
t.kind_id:<|t.production_year:>|ci.person_id:=|ci.role_id:>,1,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284
t.kind_id:=|t.production_year:=|mc.company_id:>|mi_idx.info_type_id:=,1,3.387955182072829,3.387955182072829,3.387955182072829,3.387955182072829
t.kind_id:<|mc.company_id:=|mc.company_type_id:>|ci.person_id:<|ci.role_id:<,1,3.3214285714285716,3.3214285714285716,3.3214285714285716,3.3214285714285716
mk.keyword_id:=,228,3.2338913776519744,2.241674034777483,7.129616082478546,43.2
t.production_year:<|ci.person_id:<|ci.role_id:=|mk.keyword_id:>,1,3.217287915688854,3.217287915688854,3.217287915688854,3.217287915688854
mc.company_id:<|ci.person_id:=|ci.role_id:<,1,3.2,3.2,3.2,3.2
mc.company_id:=|ci.person_id:<|ci.role_id:<,1,3.186046511627907,3.186046511627907,3.186046511627907,3.186046511627907
t.kind_id:>|t.production_year:>|mk.keyword_id:=,4,3.18070014654025,2.352637582664367,6.393190940306257,6.955823293172691
t.production_year:=|ci.person_id:<|mi_idx.info_type_id:>,2,3.1743213783314213,3.1743213783314213,5.074574994975999,5.285714285714286
t.kind_id:>|t.production_year:>|mc.company_id:<|mc.company_type_id:=,3,3.1337066511549376,3.4285714285714284,3.6983457870415886,3.7283207157604954
t.kind_id:=|t.production_year:>|mc.company_id:>|mc.company_type_id:>|mi.info_type_id:=,1,3.120491174213354,3.120491174213354,3.120491174213354,3.120491174213354
t.kind_id:=|mk.keyword_id:=,12,3.070463174032216,2.9355555555555553,5.673148936170211,7.12
mc.company_type_id:=|mi_idx.info_type_id:>,1,3.0463366336633664,3.0463366336633664,3.0463366336633664,3.0463366336633664
ci.person_id:=|mk.keyword_id:<,3,3.0094122166730695,2.5,4.607894736842105,4.842105263157895
t.kind_id:>|t.production_year:<|mc.company_id:=,1,3.006849315068493,3.006849315068493,3.006849315068493,3.006849315068493
t.production_year:>|mk.keyword_id:=,12,3.003019067067061,2.34120523285772,6.41785714285714,8.5
ci.person_id:=|ci.role_id:<|mk.keyword_id:<,1,2.9411764705882355,2.9411764705882355,2.9411764705882355,2.9411764705882355
t.production_year:<|ci.person_id:<|ci.role_id:=|mk.keyword_id:<,1,2.9404317420807775,2.9404317420807775,2.9404317420807775,2.9404317420807775
t.kind_id:=|mc.company_id:=,4,2.939956517485232,3.344198749256178,3.9600778065950353,4.0
t.production_year:<|mi_idx.info_type_id:>|mk.keyword_id:=,1,2.933333333333333,2.933333333333333,2.933333333333333,2.933333333333333
ci.person_id:<|mk.keyword_id:=,2,2.9293760321176334,2.9293760321176334,4.634488457965176,4.823945394170459
t.kind_id:>|t.production_year:>|mc.company_type_id:<|ci.person_id:>|ci.role_id:>,1,2.919754160822233,2.919754160822233,2.919754160822233,2.919754160822233
t.kind_id:=|mc.company_id:=|mc.company_type_id:=,1,2.909090909090909,2.909090909090909,2.909090909090909,2.909090909090909
t.production_year:<|mc.company_id:=,2,2.8929215140095033,2.8929215140095033,4.543609700147468,4.727019498607242
t.kind_id:=|t.production_year:<|mc.company_id:>|mc.company_type_id:>|mk.keyword_id:=,1,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857
t.kind_id:>|t.production_year:=|mi.info_type_id:=,2,2.8564711237027085,2.8564711237027085,4.131374082403567,4.273029966703662
t.kind_id:>|mc.company_id:>|mc.company_type_id:=|ci.person_id:<|ci.role_id:<,1,2.839728061264359,2.839728061264359,2.839728061264359,2.839728061264359
t.kind_id:=|t.production_year:=|mc.company_type_id:>,1,2.824390243902439,2.824390243902439,2.824390243902439,2.824390243902439
t.kind_id:=|t.production_year:=|mc.company_type_id:>|mk.keyword_id:<,1,2.734126984126984,2.734126984126984,2.734126984126984,2.734126984126984
t.kind_id:=|ci.person_id:>|ci.role_id:=|mi.info_type_id:>,1,2.730701722964502,2.730701722964502,2.730701722964502,2.730701722964502
t.kind_id:<|t.production_year:<|mi.info_type_id:>|mk.keyword_id:=,1,2.7273236554949336,2.7273236554949336,2.7273236554949336,2.7273236554949336
t.kind_id:=|t.production_year:<|mc.company_id:<|mc.company_type_id:=|mi_idx.info_type_id:>,1,2.6991150442477876,2.6991150442477876,2.6991150442477876,2.6991150442477876
t.kind_id:=|t.production_year:<|mc.company_id:>|mc.company_type_id:=,1,2.677360219981668,2.677360219981668,2.677360219981668,2.677360219981668
t.kind_id:<|t.production_year:=|ci.role_id:=,1,2.668559411146162,2.668559411146162,2.668559411146162,2.668559411146162
t.kind_id:>|t.production_year:>|ci.person_id:=|mi.info_type_id:<,1,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665
t.kind_id:>|t.production_year:<|mi.info_type_id:<|mk.keyword_id:=,1,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665
