trial_id,selected_candidate,mean_q_error,median_q_error,p90_q_error,p95_q_error,max_q_error,public_rows,main_eta,main_max_depth,main_min_child_weight,main_subsample,main_colsample_bytree,main_lambda,main_alpha,main_num_boost_round,low_eta,low_max_depth,low_min_child_weight,low_subsample,low_colsample_bytree,low_lambda,low_alpha,low_num_boost_round,residual_eta,residual_max_depth,residual_min_child_weight,residual_subsample,residual_colsample_bytree,residual_lambda,residual_alpha,residual_num_boost_round,blend_low_expert_weight_percent,main_tuned_best_iteration,selected_main_config,selected_blend_low_expert_weight,selected_blend_other_weight
129,residual,2.6427340802373966,1.1404777559552133,3.250806451612906,6.359041034974877,1106.148,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,70,3199.0,main_tuned,,
130,residual,2.6427340802373966,1.1404777559552133,3.250806451612906,6.359041034974877,1106.148,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,80,3199.0,main_tuned,,
131,residual,2.6427340802373966,1.1404777559552133,3.250806451612906,6.359041034974877,1106.148,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,90,3199.0,main_tuned,,
132,residual,2.6427340802373966,1.1404777559552133,3.250806451612906,6.359041034974877,1106.148,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,100,3199.0,main_tuned,,
92,blend_low_030,2.6437670144952468,1.1435508808077706,3.2871428571428623,6.525977256574279,1246.236,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,30,3199.0,main_tuned,0.3,0.7
114,blend_low_030,2.643994137164767,1.1437277954312726,3.289539860888189,6.584166666666669,1246.232,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,30,3199.0,main_tuned,0.3,0.7
89,residual,2.649422136088636,1.1418386309924315,3.2018716707021824,6.275346841913115,1142.588,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,0,3199.0,main_tuned,,
93,residual,2.649422136088636,1.1418386309924315,3.2018716707021824,6.275346841913115,1142.588,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,40,3199.0,main_tuned,,
94,residual,2.649422136088636,1.1418386309924315,3.2018716707021824,6.275346841913115,1142.588,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,50,3199.0,main_tuned,,
95,residual,2.649422136088636,1.1418386309924315,3.2018716707021824,6.275346841913115,1142.588,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,60,3199.0,main_tuned,,
96,residual,2.649422136088636,1.1418386309924315,3.2018716707021824,6.275346841913115,1142.588,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,70,3199.0,main_tuned,,
97,residual,2.649422136088636,1.1418386309924315,3.2018716707021824,6.275346841913115,1142.588,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,80,3199.0,main_tuned,,
98,residual,2.649422136088636,1.1418386309924315,3.2018716707021824,6.275346841913115,1142.588,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,90,3199.0,main_tuned,,
99,residual,2.649422136088636,1.1418386309924315,3.2018716707021824,6.275346841913115,1142.588,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,100,3199.0,main_tuned,,
111,residual,2.649422136088636,1.1418386309924315,3.2018716707021824,6.275346841913115,1142.588,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,0,3199.0,main_tuned,,
115,residual,2.649422136088636,1.1418386309924315,3.2018716707021824,6.275346841913115,1142.588,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,40,3199.0,main_tuned,,
116,residual,2.649422136088636,1.1418386309924315,3.2018716707021824,6.275346841913115,1142.588,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,50,3199.0,main_tuned,,
